Overall rating,votes,Category,Distillery,Bottler,Bottling serie,Bottled,Stated Age,Casktype,Strength,Size,Barcode,Added on,Average value,id,tastingtags,Bottle code,Vintage,Casknumber,Number of bottles,Label
82.36/100,424,Single Malt,Balvenie,Distillery Bottling,DoubleWood,90s,12 years old,Sherry Cask Finish,40.0 % Vol.,700 ml,5010327505138,30 May 2007 2:23 pm,€ 40.63,1,"'100:2', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:1', '116:1', '1188:', '1189:', '118:', '212:', '213:', '214:1', '215:', '88:2', '89:', '90:2', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",,,,,
85.56/100,120,Single Malt,Balvenie,Distillery Bottling,,03.10.2006,14 years old,,47.1 % Vol.,700 ml 700 ml,5010327525570,30 May 2007 2:25 pm,€ 488.40,2,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",L6Q 6855 0310,,,,
86.29/100,227,Single Malt,Caol Ila,Distillery Bottling,,2007,18 years old,,43.0 % Vol.,700 ml,5000281016344,30 May 2007 2:25 pm,€ 118.33,3,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",L7150CM000,,,,
85.58/100,76,Single Malt,Balvenie,Distillery Bottling,New Wood - Limited Release,2006,17 years old,Quercus Alba Oak Casks,40.0 % Vol.,700 ml,5010327525051,30 May 2007 2:34 pm,€ 453.42,4,"'100:1', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:1', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:1', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:1', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'", L6Q 6103 1302 16:02  L6Q 6103 1302 14:35:43,,,,
84.14/100,9,Single Malt,Balvenie,Distillery Bottling,Single Barrel,07.04.2005,15 years old,,47.8 % Vol.,700 ml,,30 May 2007 2:34 pm,€ 56.00,5,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",,11.01.1990,824,350,
86.33/100,6,Single Malt,Caol Ila,Berry Bros & Rudd (BR),Berrys' Own Selection,2006,10 years old,,57.0 % Vol.,700 ml,,30 May 2007 4:03 pm,€ 50.00,6,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",,1996,732 - 735,,
89.23/100,1154,Single Malt,Ardbeg,Distillery Bottling,,2006,,Oak Cask,46.0 % Vol.,700 ml 700 ml 700 ml 700 ml 700 ml 750 ml,5010494218282,30 May 2007 4:03 pm,€ 397.86,7,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",L6 313 16:27 4ML,1990,,,
89.91/100,70,Single Malt,Lagavulin,Distillery Bottling,3rd Release Diageo Special Releases 2003,2003,12 years old,,57.8 % Vol.,700 ml,5000281017716,30 May 2007 4:03 pm,€ 442.48,8,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:1', '94:', '95:', '96:1', '98:', '99:'",,,,,
88.34/100,527,Single Malt,Lagavulin,Distillery Bottling,,03.05.2007,16 years old,Old Oak,43.0 % Vol.,700 ml,50281077,30 May 2007 4:14 pm,€ 50.40,9,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",L7123CM000,,,,Port Ellen
92.56/100,137,Single Malt,Lagavulin,Distillery Bottling,Diageo Special Releases 2006,2006,30 years old,,52.6 % Vol.,700 ml,,30 May 2007 4:14 pm,€ 3716.28,10,"'100:', '101:', '102:', '103:', '104:', '107:', '1089:', '108:', '109:', '110:', '111:', '112:', '113:', '114:', '1154:', '115:', '116:', '1188:', '1189:', '118:', '212:', '213:', '214:', '215:', '88:', '89:', '90:', '91:', '92:', '93:', '94:', '95:', '96:', '98:', '99:'",,1976,,2340,
